w ang1 ang2 absval 
0.0100000000 -0.0149976256 -0.0349969590 0.9998375508 
0.0107151931 -0.0160698686 -0.0374994345 0.9998134921 
0.0112201845 -0.0168269231 -0.0392663506 0.9997955052 
0.0117489755 -0.0176196129 -0.0411164829 0.9997757844 
0.0123026877 -0.0184496109 -0.0430537450 0.9997541627 
0.0128824955 -0.0193186678 -0.0450822337 0.9997304571 
0.0134896288 -0.0202286161 -0.0472062374 0.9997044669 
0.0141253754 -0.0211813730 -0.0494302452 0.9996759722 
0.0147910839 -0.0221789449 -0.0517589556 0.9996447320 
0.0154881662 -0.0232234308 -0.0541972867 0.9996104821 
0.0162181010 -0.0243170272 -0.0567503857 0.9995729330 
0.0169824365 -0.0254620313 -0.0594236397 0.9995317675 
0.0177827941 -0.0266608466 -0.0622226865 0.9994866379 
0.0186208714 -0.0279159866 -0.0651534259 0.9994371634 
0.0194984460 -0.0292300804 -0.0682220314 0.9993829264 
0.0204173794 -0.0306058766 -0.0714349627 0.9993234698 
0.0213796209 -0.0320462496 -0.0747989783 0.9992582926 
0.0223872114 -0.0335542040 -0.0783211489 0.9991868461 
0.0234422882 -0.0351328802 -0.0820088710 0.9991085291 
0.0245470892 -0.0367855601 -0.0858698813 0.9990226835 
0.0257039578 -0.0385156730 -0.0899122715 0.9989285883 
0.0269153480 -0.0403268007 -0.0941445035 0.9988254541 
0.0281838293 -0.0422226845 -0.0985754254 0.9987124170 
0.0295120923 -0.0442072301 -0.1032142876 0.9985885308 
0.0309029543 -0.0462845147 -0.1080707599 0.9984527604 
0.0323593657 -0.0484587926 -0.1131549485 0.9983039729 
0.0338844156 -0.0507345015 -0.1184774142 0.9981409288 
0.0354813389 -0.0531162688 -0.1240491902 0.9979622724 
0.0371535229 -0.0556089174 -0.1298818007 0.9977665212 
0.0389045145 -0.0582174721 -0.1359872804 0.9975520544 
0.0407380278 -0.0609471650 -0.1423781931 0.9973171003 
0.0426579519 -0.0638034411 -0.1490676515 0.9970597234 
0.0446683592 -0.0667919640 -0.1560693367 0.9967778095 
0.0467735141 -0.0699186197 -0.1633975178 0.9964690500 
0.0489778819 -0.0731895217 -0.1710670716 0.9961309257 
0.0512861384 -0.0766110142 -0.1790935018 0.9957606880 
0.0537031796 -0.0801896746 -0.1874929577 0.9953553401 
0.0562341325 -0.0839323155 -0.1962822530 0.9949116160 
0.0588843655 -0.0878459852 -0.2054788829 0.9944259586 
0.0616595002 -0.0919379665 -0.2151010405 0.9938944964 
0.0645654229 -0.0962157746 -0.2251676322 0.9933130183 
0.0676082975 -0.1006871522 -0.2356982908 0.9926769479 
0.0707945784 -0.1053600631 -0.2467133865 0.9919813158 
0.0741310241 -0.1102426826 -0.2582340360 0.9912207313 
0.0776247117 -0.1153433857 -0.2702821081 0.9903893521 
0.0812830516 -0.1206707308 -0.2828802254 0.9894808547 
0.0851138038 -0.1262334408 -0.2960517626 0.9884884026 
0.0891250938 -0.1320403790 -0.3098208394 0.9874046153 
0.0933254301 -0.1381005204 -0.3242123079 0.9862215370 
0.0977237221 -0.1444229179 -0.3392517334 0.9849306065 
0.1023292992 -0.1510166616 -0.3549653686 0.9835226276 
0.1071519305 -0.1578908324 -0.3713801184 0.9819877430 
0.1122018454 -0.1650544477 -0.3885234966 0.9803154097 
0.1174897555 -0.1725163996 -0.4064235714 0.9784943800 
0.1230268771 -0.1802853840 -0.4251088998 0.9765126871 
0.1288249552 -0.1883698212 -0.4446084499 0.9743576377 
0.1348962883 -0.1967777664 -0.4649515086 0.9720158140 
0.1412537545 -0.2055168107 -0.4861675756 0.9694730846 
0.1479108388 -0.2145939715 -0.5082862408 0.9667146293 
0.1548816619 -0.2240155728 -0.5313370454 0.9637249779 
0.1621810097 -0.2337871155 -0.5553493259 0.9604880652 
0.1698243652 -0.2439131383 -0.5803520397 0.9569873066 
0.1778279410 -0.2543970699 -0.6063735727 0.9532056941 
0.1862087137 -0.2652410741 -0.6334415291 0.9491259168 
0.1949844600 -0.2764458904 -0.6615825037 0.9447305065 
0.2041737945 -0.2880106707 -0.6908218379 0.9400020114 
0.2137962090 -0.2999328180 -0.7211833609 0.9349231978 
0.2238721139 -0.3122078289 -0.7526891192 0.9294772806 
0.2344228815 -0.3248291456 -0.7853590958 0.9236481817 
0.2454708916 -0.3377880223 -0.8192109248 0.9174208145 
0.2570395783 -0.3510734125 -0.8542596044 0.9107813919 
0.2691534804 -0.3646718836 -0.8905172138 0.9037177516 
0.2818382931 -0.3785675657 -0.9279926395 0.8962196933 
0.2951209227 -0.3927421418 -0.9666913172 0.8882793197 
0.3090295433 -0.4071748859 -1.0066149954 0.8798913703 
0.3235936569 -0.4218427576 -1.0477615266 0.8710535384 
0.3388441561 -0.4367205553 -1.0901246919 0.8617667572 
0.3548133892 -0.4517811355 -1.1336940644 0.8520354425 
0.3715352291 -0.4669956992 -1.1784549156 0.8418676786 
0.3890451450 -0.4823341456 -1.2243881672 0.8312753355 
0.4073802778 -0.4977654910 -1.2714703908 0.8202741039 
0.4265795188 -0.5132583479 -1.3196738539 0.8088834418 
0.4466835922 -0.5287814553 -1.3689666125 0.7971264242 
0.4677351413 -0.5443042495 -1.4193126446 0.7850294950 
0.4897788194 -0.5597974600 -1.4706720211 0.7726221221 
0.5128613840 -0.5752337150 -1.5230011084 0.7599363618 
0.5370317964 -0.5905881363 -1.5762527952 0.7470063432 
0.5623413252 -0.6058389046 -1.6303767361 0.7338676875 
0.5888436554 -0.6209677725 -1.6853196070 0.7205568788 
0.6165950019 -0.6359605074 -1.7410253635 0.7071106084 
0.6456542290 -0.6508072435 -1.7974354995 0.6935651140 
0.6760829754 -0.6655027266 -1.8544892997 0.6799555355 
0.7079457844 -0.6800464391 -1.9121240850 0.6663153108 
0.7413102413 -0.6944425940 -1.9702754477 0.6526756306 
0.7762471166 -0.7086999951 -2.0288774781 0.6390649697 
0.8128305162 -0.7228317607 -2.0878629808 0.6255087090 
0.8511380382 -0.7368549175 -2.1471636838 0.6120288589 
