t slowdata fastdata zero 
0.0000000000 0.0000000000 0.0000000000 0.0000000000 
0.2000000000 0.0000000000 0.0000000000 0.0000000000 
0.4000000000 0.0000000000 0.0000000000 0.0000000000 
0.6000000000 0.0000000000 0.0000000000 0.0000000000 
0.8000000000 0.0000000000 0.0000000000 0.0000000000 
1.0000000000 0.0000000000 0.0000000000 0.0000000000 
1.0000000000 0.0000000000 0.0000000000 0.0000000000 
1.0000000000 -0.0000000000 0.0000000000 0.0000000000 
1.0000390625 -0.0000390580 0.0000390606 0.0000000000 
1.0000781250 -0.0000781108 0.0000781189 0.0000000000 
1.0001171875 -0.0001171582 0.0001171750 0.0000000000 
1.0001562500 -0.0001562004 0.0001562287 0.0000000000 
1.0002965885 -0.0002964252 0.0002965185 0.0000000000 
1.0004369270 -0.0004365831 0.0004367796 0.0000000000 
1.0005772654 -0.0005766725 0.0005770113 0.0000000000 
1.0007176039 -0.0007166933 0.0007172136 0.0000000000 
1.0010506837 -0.0010487438 0.0010498522 0.0000000000 
1.0013837635 -0.0013804066 0.0013823246 0.0000000000 
1.0017168433 -0.0017116821 0.0017146308 0.0000000000 
1.0020499230 -0.0020425708 0.0020467712 0.0000000000 
1.0023830028 -0.0023730730 0.0023787459 0.0000000000 
1.0027773608 -0.0027638798 0.0027715812 0.0000000000 
1.0031717188 -0.0031541457 0.0031641844 0.0000000000 
1.0035660767 -0.0035438711 0.0035565557 0.0000000000 
1.0039604347 -0.0039330564 0.0039486952 0.0000000000 
1.0043547927 -0.0043217022 0.0043406032 0.0000000000 
1.0049939256 -0.0049504328 0.0049752740 0.0000000000 
1.0056330585 -0.0055777494 0.0056093376 0.0000000000 
1.0062721914 -0.0062036540 0.0062427948 0.0000000000 
1.0069113244 -0.0068281486 0.0068756463 0.0000000000 
1.0075504573 -0.0074512352 0.0075078927 0.0000000000 
1.0088523839 -0.0087161307 0.0087939238 0.0000000000 
1.0101543104 -0.0099752094 0.0100774533 0.0000000000 
1.0114562370 -0.0112284874 0.0113584872 0.0000000000 
1.0127581636 -0.0124759815 0.0126370314 0.0000000000 
1.0171488449 -0.0166407585 0.0169306103 0.0000000000 
1.0215395261 -0.0207405933 0.0211961709 0.0000000000 
1.0259302074 -0.0247760962 0.0254339303 0.0000000000 
1.0303208886 -0.0287478927 0.0296441108 0.0000000000 
1.0481182608 -0.0442072990 0.0464318014 0.0000000000 
1.0659156331 -0.0586702004 0.0627842462 0.0000000000 
1.0837130053 -0.0721756906 0.0787153932 0.0000000000 
1.1015103775 -0.0847613333 0.0942386699 0.0000000000 
1.1193077497 -0.0964632515 0.1093670145 0.0000000000 
1.1709600121 -0.1257384793 0.1511508421 0.0000000000 
1.2226122744 -0.1486510258 0.1899972740 0.0000000000 
1.2742645368 -0.1659134873 0.2261646531 0.0000000000 
1.3259167991 -0.1781668823 0.2598869403 0.0000000000 
